food_class,display_name,serving_size,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,sugar_g,fiber_g,health_category,nutrition_tags,source_note
gyoza,Gyoza,typical serving / 1 plate or item,330,15,38,14,700,4,2,balanced,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
hamburger,Hamburger,typical serving / 1 plate or item,540,28,40,31,950,7,2,moderate,high_protein|high_fat|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
hot_and_sour_soup,Hot And Sour Soup,typical serving / 1 plate or item,160,10,16,6,900,3,2,moderate,lower_calorie|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
hot_dog,Hot Dog,typical serving / 1 plate or item,350,13,30,21,1100,5,1,moderate,high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
huevos_rancheros,Huevos Rancheros,typical serving / 1 plate or item,520,22,45,28,900,6,8,moderate,high_fat|high_sodium|fiber_source,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
hummus,Hummus,typical serving / 1 plate or item,250,9,22,15,450,2,7,balanced,lower_calorie|fiber_source,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
ice_cream,Ice Cream,typical serving / 1 plate or item,270,5,32,14,90,28,0,moderate,high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
lasagna,Lasagna,typical serving / 1 plate or item,600,30,50,32,1000,8,4,moderate,high_protein|high_fat|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
lobster_bisque,Lobster Bisque,typical serving / 1 plate or item,350,15,18,24,950,6,1,moderate,high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
lobster_roll_sandwich,Lobster Roll Sandwich,typical serving / 1 plate or item,520,28,42,27,900,4,2,moderate,high_protein|high_fat|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
macaroni_and_cheese,Macaroni And Cheese,typical serving / 1 plate or item,510,20,55,24,900,6,2,moderate,high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
macarons,Macarons,typical serving / 1 plate or item,230,5,32,10,60,26,1,moderate,lower_calorie|high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
miso_soup,Miso Soup,typical serving / 1 plate or item,90,6,9,3,800,2,1,balanced,lower_calorie,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
mussels,Mussels,typical serving / 1 plate or item,260,32,14,8,600,2,0,protein_rich,high_protein,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
nachos,Nachos,typical serving / 1 plate or item,700,24,65,38,1250,5,8,limit,high_calorie|high_fat|high_carb|high_sodium|fiber_source,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
omelette,Omelette,typical serving / 1 plate or item,350,24,4,26,550,2,0,moderate,high_fat,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
onion_rings,Onion Rings,typical serving / 1 plate or item,420,6,50,22,700,5,3,moderate,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
oysters,Oysters,typical serving / 1 plate or item,170,18,10,5,300,0,0,healthier_option,lower_calorie,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
pad_thai,Pad Thai,typical serving / 1 plate or item,750,28,95,30,1200,18,5,limit,high_calorie|high_protein|high_fat|high_carb|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
paella,Paella,typical serving / 1 plate or item,560,30,65,20,900,5,4,moderate,high_protein|high_carb|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
pancakes,Pancakes,typical serving / 1 plate or item,430,10,70,12,650,18,3,balanced,high_carb,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
panna_cotta,Panna Cotta,typical serving / 1 plate or item,330,5,28,22,80,24,0,moderate,high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
peking_duck,Peking Duck,typical serving / 1 plate or item,620,34,28,42,1050,12,1,limit,high_protein|high_fat|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
pho,Pho,typical serving / 1 plate or item,450,25,60,12,1100,6,3,protein_rich,high_protein|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
pizza,Pizza,typical serving / 1 plate or item,285,12,36,10,640,4,2,balanced,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
pork_chop,Pork Chop,typical serving / 1 plate or item,430,38,4,28,420,1,0,protein_rich,high_protein|high_fat,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
poutine,Poutine,typical serving / 1 plate or item,740,22,75,38,1250,4,6,limit,high_calorie|high_fat|high_carb|high_sodium|fiber_source,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
prime_rib,Prime Rib,typical serving / 1 plate or item,650,45,0,50,600,0,0,limit,high_calorie|high_protein|high_fat,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
pulled_pork_sandwich,Pulled Pork Sandwich,typical serving / 1 plate or item,620,35,55,28,1100,18,3,moderate,high_protein|high_fat|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
ramen,Ramen,typical serving / 1 plate or item,520,20,70,18,1600,5,3,limit,high_carb|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
ravioli,Ravioli,typical serving / 1 plate or item,450,18,58,16,780,6,4,moderate,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
red_velvet_cake,Red Velvet Cake,typical serving / 1 plate or item,430,5,55,22,360,38,1,limit,high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
risotto,Risotto,typical serving / 1 plate or item,520,14,70,20,800,4,3,moderate,high_carb,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
samosa,Samosa,typical serving / 1 plate or item,310,7,35,17,500,3,4,balanced,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
sashimi,Sashimi,typical serving / 1 plate or item,180,32,0,5,80,0,0,healthier_option,lower_calorie|high_protein,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
scallops,Scallops,typical serving / 1 plate or item,220,30,8,7,400,2,0,healthier_option,lower_calorie|high_protein,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
seaweed_salad,Seaweed Salad,typical serving / 1 plate or item,120,3,16,5,650,7,4,healthier_option,lower_calorie,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
shrimp_and_grits,Shrimp And Grits,typical serving / 1 plate or item,560,30,55,25,1000,4,3,moderate,high_protein|high_fat|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
spaghetti_bolognese,Spaghetti Bolognese,typical serving / 1 plate or item,650,28,80,24,900,10,6,limit,high_calorie|high_protein|high_carb|high_sodium|fiber_source,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
spaghetti_carbonara,Spaghetti Carbonara,typical serving / 1 plate or item,700,25,75,35,950,4,4,limit,high_calorie|high_protein|high_fat|high_carb|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
spring_rolls,Spring Rolls,typical serving / 1 plate or item,220,7,32,8,450,6,3,healthier_option,lower_calorie,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
steak,Steak,typical serving / 1 plate or item,550,50,0,38,220,0,0,limit,high_protein|high_fat,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
strawberry_shortcake,Strawberry Shortcake,typical serving / 1 plate or item,350,5,45,17,220,28,2,moderate,high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
sushi,Sushi,typical serving / 1 plate or item,360,18,55,7,650,8,2,balanced,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
tacos,Tacos,typical serving / 1 plate or item,520,24,48,26,850,5,6,moderate,high_fat|fiber_source,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
takoyaki,Takoyaki,typical serving / 1 plate or item,360,12,45,16,700,8,2,balanced,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
tiramisu,Tiramisu,typical serving / 1 plate or item,420,7,42,25,120,28,1,moderate,high_fat|high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
tuna_tartare,Tuna Tartare,typical serving / 1 plate or item,220,30,6,8,450,2,1,healthier_option,lower_calorie|high_protein,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
waffles,Waffles,typical serving / 1 plate or item,430,10,60,18,600,18,2,balanced,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
